VESSELfrom_VESSELto;V2;V26;V0;V16;V41;V34;V32;V11;V13;V18;V37;V36;V7;V27;V12;V21;V15;V30;V29;V6;V40;V5;V3;V25;V24;V19;V39;V14;V4;V38;V8;V31;V23;V28;V35;V10;V17;V33;V9;V1;V22;V20
V2;;;;;1;;1;;;;;;;6;2;1;1;;1;1;;;;;2;;;;;;1;1;;;1;;;;;;;
V26;2;;;;;;;;;;;5;;16;;;1;3;1;;;4;;;;1;1;3;8;;;;;2;;;;;3;2;1;
V0;1;;;;;;;;;;;3;;6;;;;1;;;;1;;;;;1;1;6;;;;;;;;;;;;;
V16;;;;;;;;;;;;;;;;;1;;4;;1;;;;;;;1;2;;;;;1;;;1;;5;1;;
V41;3;1;;;;;1;;;;;2;;11;;;;4;8;;;4;;;;;6;1;3;1;;;1;1;;;;2;3;5;1;
V34;8;;;;;;;;;;;2;;5;;;13;1;1;;1;;5;;;1;;9;13;;;;1;2;;;;;3;1;1;
V32;1;;;;;;;;;;;1;;4;;;4;;;;4;1;3;;;;;1;1;;;;;2;;;1;1;;;;
V11;;;;;;;;;;;;16;;;;;4;3;;;;;5;;;;;;;;;;1;;;;;;;;;
V13;22;;;;;;;;;;;85;;24;;;49;16;11;;11;15;13;;;;2;2;2;2;;;1;7;;;2;4;11;2;5;
V18;;;;;;;;;;;;6;;;;;5;;;;1;;2;1;;1;;;;;;;;;;;;1;;;;
V37;2;;;;;;;;;;;2;;;;;5;4;2;;1;1;3;;;1;;3;2;;;;3;4;;;;;1;;;
V36;;;;1;2;1;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;
V7;;;;;;1;;;;;;8;;3;;;;;;;;1;;;;;;;1;1;;;;;;;;6;;;;
V27;1;23;4;;45;33;50;;6;2;9;1;;;;;2;;6;1;8;3;1;;308;;;2;;;35;7;;2;2;1;12;;8;2;7;
V12;1;;;;;;;;;;;19;;1;;;13;2;;;;4;7;;;1;6;6;4;2;;;1;;;;1;;2;1;;
V21;3;;;;;;;;;;;14;;1;;;12;1;1;1;1;2;3;;;1;16;27;;;;;2;1;;;;;;;;
V15;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V30;;;2;;1;;;;;;;1;;1;;;3;;2;;;1;;;7;;;3;;;;;1;;;;;;2;;1;
V29;20;1;3;;2;1;1;;;;;3;;2;;;;10;;1;;;;;14;;;5;;;2;;1;;;;;;3;;6;
V6;11;;;;;;;;;;;4;;2;;;9;;;;1;12;6;;;;10;7;1;;;;1;5;;;2;;16;7;;
V40;;2;;;3;17;23;8;;2;;;;1;;6;;;;16;;;;;;;;;;;1;;;3;;;;;1;;;
V5;;3;;;24;26;3;2;1;;4;1;;24;;;;;;3;;;;;24;;;2;;;;2;;;;;;;2;2;1;
V3;;1;1;;1;3;;1;;1;4;1;;;;;;;;3;;;;;1;;;7;5;;;;;;1;1;;;;;;
V25;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
V24;;;;;;2;;;;;;;;8;;;1;;;;;8;;;;;;1;1;;;;11;;;;;;1;1;;
V19;3;3;;;;;;;;;;;;;;;2;1;;;;;1;;;;;;;;;;3;;;1;;;2;;;
V39;;;1;;;;;1;;1;;6;;;;;3;;1;4;;51;5;;;1;;;;;;;;;;;;;49;4;;
V14;1;;;;;;;;;;;;;1;;2;1;4;4;;;1;1;12;3;;1;;1;;5;;;1;;;1;1;58;20;;
V4;;3;;3;;;;1;;;;1;;;;;3;;;;;4;2;;1;;1;1;;;;;;;;;;2;44;9;;
V38;;;;1;1;1;1;1;1;;;;;1;;1;1;;;1;;;;;3;;;1;;;;;;;;;;;3;;4;
V8;2;;;;;;;;;;;2;;2;;;3;;;;4;3;;;;;;;;;;;;;;;;2;;;1;
V31;1;;;1;;;;;;;;3;;;;;13;;;;1;;;;;;;;;1;;;;;;;;;;;;
V23;5;2;1;;3;1;;;;;;57;;1;;3;1;32;2;13;;1;9;;1;;;;;;;1;;2;5;;8;6;28;1;5;
V28;;;;1;4;3;1;;1;;;2;;;;;;;;4;6;;1;;;1;;;1;;;4;;;;;;;;;;
V35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
V10;;;;;;;;;;;;7;;;;;8;1;;;1;1;17;;;;;1;;;;;1;2;;;;1;3;;;
V17;;;;;;;;2;;;;;;1;;;;1;;;;;;;1;;1;3;;;;;;;;;;;;;1;
V33;;;;;;;;;;;;;;2;;;;;;;;3;;;2;;;1;6;;;;;2;;1;;;;;2;
V9;;;;;;;;;;;;;;;;;;1;1;;;;;;1;1;2;5;5;;1;;;;;;;;;;;
V1;;;;;;;;;;;;30;;;;;34;1;1;;;3;24;;;;;;;;;;;;;;;;1;;;
V22;1;21;13;2;10;11;3;9;6;1;4;15;;4;1;;4;46;;14;22;4;5;;12;;;7;3;;98;3;;11;3;2;1;1;21;4;;
V20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
