VESSEL;Arrival;Departure;
V0;Mo 06:00;Tu 06:00
V1;Mo 14:00;Tu 18:00
V2;Mo 14:00;Tu 14:00
V3;Mo 22:00;We 22:00
V4;Mo 22:00;Tu 22:00
V5;Mo 18:00;We 02:00
V6;Mo 22:00;Tu 16:00
V7;Tu 02:00;Tu 22:00
V8;Tu 06:00;We 10:00
V9;Tu 14:00;Th 02:00
V10;Tu 14:00;We 02:00
V11;Tu 14:00;We 14:00
V12;Mo 20:00;We 06:00
V13;Tu 22:00;We 18:30
V14;Tu 22:00;Th 00:00
V15;We 06:00;Fr 06:00
V16;We 10:00;Th 10:00
V17;We 06:00;Th 10:00
V18;We 14:00;Th 14:00
V19;We 22:00;Th 22:00
V20;We 22:00;Th 02:00
V21;Tu 14:00;Th 14:00
V22;Th 02:00;Fr 18:00
V23;Th 06:00;Fr 06:00
V24;Th 06:00;Fr 14:00
V25;Th 06:00;Fr 06:00
V26;Th 22:00;Fr 22:00
V27;Fr 02:00;Sa 02:00
V28;Th 22:00;Sa 06:00
V29;Fr 10:00;Su 02:00
V30;Fr 22:00;Su 10:00
V31;Fr 18:00;Sa 06:00
V32;Sa 02:00;Sa 22:30
V33;Fr 22:00;Su 06:00
V34;Sa 06:00;Su 06:00
V35;Sa 06:00;Su 02:00
V36;Sa 22:00;Mo 06:00
V37;Su 02:00;Su 22:30
V38;Sa 22:00;Su 14:00
V39;Su 06:00;Mo 06:00
V40;Su 22:00;Mo 22:00
V41;Su 22:00;Mo 22:00
